name,stage,lat,lon
Lead: (Kimco) KIMCO - Coral Way Plaza,Lead,25.7485247,-80.3373822
Lead: (Kimco) KIMCO - Corona Hills Plaza,Lead,33.8882303,-117.5203465
Lead: (Kimco) KIMCO - Corsica Square S.C.,Lead,25.626619,-80.448491
Lead: (Kimco) KIMCO - Costco Plaza - Alhambra,Lead,34.0898303,-118.148657
Lead: (Kimco) KIMCO - Costco Plaza - Fairfax,Lead,38.8493355,-77.3718217
Lead: (Kimco) KIMCO - Cottman & Bustleton Center,Lead,40.0519912,-75.0581922
Lead: (Kimco) KIMCO - Countryside Centre,Lead,28.0137308,-82.7343688
Lead: (Kimco) KIMCO - Covina Town Square,Lead,34.1041625,-117.9038078
Lead: (Kimco) KIMCO - Covington Esplanade,Lead,47.3587698,-122.0977883
Lead: (Kimco) KIMCO - Cranberry Commons,Lead,40.6882161,-80.0829191
Lead: (Kimco) KIMCO - Creekside Center,Lead,,
Lead: (Kimco) KIMCO - Crocker Ranch,Lead,38.7941433,-121.3306413
Lead: (Kimco) KIMCO - Crofton Centre,Lead,39.0166786,-76.6948166
Lead: (Kimco) KIMCO - Crossing At Stonegate,Lead,39.5360303,-104.7906562
Lead: (Kimco) KIMCO - Crossroads Plaza,Lead,35.7616046,-78.7376261
Lead: (Kimco) KIMCO - Crossroads Plaza - Richboro,Lead,40.2084091,-75.0129146
Lead: (Kimco) KIMCO - Cupertino Village,Lead,37.3357263,-122.0154226
Lead: (Kimco) KIMCO - Curlew Crossing S.C.,Lead,28.0472494,-82.7396348
Lead: (Kimco) KIMCO - Cypress Creek Station,Lead,26.2063227,-80.1479325
Lead: (Kimco) KIMCO - Cypress Point,Lead,,
Lead: (Kimco) KIMCO - Cypress Towne Center,Lead,29.968103,-95.6934243
Lead: (Kimco) KIMCO - D'Andrea Marketplace,Lead,39.5564471,-119.7044304
Lead: (Kimco) KIMCO - Home Depot Plaza - Copiague,Lead,40.6871939,-73.4073689
Lead: (Kimco) KIMCO - Home Depot Plaza - North Haven,Lead,41.3574603,-72.8705628
Lead: (Kimco) KIMCO - Home Depot Plaza - Santa Ana,Lead,33.700752,-117.9173189
Lead: (Kimco) KIMCO - Homestead S.C.,Lead,30.4736524,-97.8007048
Lead: (Kimco) KIMCO - Homestead Towne Square,Lead,25.4791882,-80.462838
Lead: (Kimco) KIMCO - Hope Valley Commons,Lead,35.9186183,-78.9592423
Lead: (Kimco) KIMCO - Horsham Point,Lead,40.2078707,-75.1787314
Lead: (Kimco) KIMCO - Hunter's Square,Lead,42.9927368,-87.9552917
